,t,x
0,0.0,0.0
1,0.03125,0.0312283947248085
2,0.0625,0.061079548770705816
3,0.09375,0.08962185791681164
4,0.125,0.11691950541987639
5,0.15625,0.14303281276073898
6,0.1875,0.16801855084255768
7,0.21875,0.19193021728917137
8,0.25,0.2148182845346363
9,0.28125,0.23673042262252536
10,0.3125,0.2577117000062802
11,0.34375,0.2778047651294088
12,0.375,0.29705001114320884
13,0.40625,0.3154857257717939
14,0.4375,0.333148228045294
15,0.46875,0.3500719933810036
16,0.5,0.3662897682901145
17,0.53125,0.38183267581743474
18,0.5625,0.3967303126775172
19,0.59375,0.4110108389283522
20,0.625,0.4247010609195406
21,0.65625,0.4378265081626596
22,0.6875,0.45041150469492913
23,0.71875,0.46247923544126157
24,0.75,0.47405180802269714
25,0.78125,0.485150310409706
26,0.8125,0.4957948647757554
27,0.84375,0.5060046778689382
28,0.875,0.5157980881865519
29,0.90625,0.5251926102086348
30,0.9375,0.5342049759210531
31,0.96875,0.5428511738363068
32,1.0,0.5511464857003922
33,1.03125,0.559105521056473
34,1.0625,0.5667422498204845
35,1.09375,0.5740700330098738
36,1.125,0.581101651754256
37,1.15625,0.5878493347056415
38,1.1875,0.5943247839559287
39,1.21875,0.6005391995603983
40,1.25,0.6065033027578866
41,1.28125,0.6122273579710485
42,1.3125,0.6177211936635514
43,1.34375,0.6229942221250975
44,1.375,0.6280554582497857
45,1.40625,0.6329135373684232
46,1.4375,0.6375767321909469
47,1.46875,0.6420529689110558
48,1.5,0.6463498425214489
49,1.53125,0.6504746313846792
50,1.5625,0.6544343111015324
51,1.59375,0.6582355677159972
52,1.625,0.661884810293285
53,1.65625,0.6653881829049569
54,1.6875,0.668751576053007
55,1.71875,0.6719806375627153
56,1.75,0.6750807829722042
57,1.78125,0.6780572054448941
58,1.8125,0.6809148852294495
59,1.84375,0.6836585986903154
60,1.875,0.6862929269305647
61,1.90625,0.688822264027495
62,1.9375,0.6912508249002222
63,1.96875,0.6935826528274079
64,2.0,0.6958216266322289
65,2.03125,0.6979714675507293
66,2.0625,0.7000357457988022
67,2.09375,0.7020178868522063
68,2.125,0.7039211774532376
69,2.15625,0.7057487713569445
70,2.1875,0.7075036948290858
71,2.21875,0.7091888519073852
72,2.25,0.7108070294370334
73,2.28125,0.7123609018908205
74,2.3125,0.7138530359837464
75,2.34375,0.7152858950914587
76,2.375,0.7166618434813906
77,2.40625,0.7179831503650329
78,2.4375,0.7192519937793488
79,2.46875,0.7204704643049519
80,2.5,0.7216405686282894
81,2.53125,0.7227642329547249
82,2.5625,0.7238433062790806
83,2.59375,0.7248795635198847
84,2.625,0.7258747085232753
85,2.65625,0.7268303769422261
86,2.6875,0.7277481389964989
87,2.71875,0.7286295021184708
88,2.75,0.7294759134897476
89,2.78125,0.7302887624732493
90,2.8125,0.7310693829452346
91,2.84375,0.7318190555315336
92,2.875,0.7325390097520568
93,2.90625,0.7332304260774722
94,2.9375,0.7338944379017615
95,2.96875,0.7345321334342031
96,3.0,0.7351445575141724
97,3.03125,0.7357327133519963
98,3.0625,0.7362975641989594
99,3.09375,0.7368400349494216
100,3.125,0.7373610136778761
101,3.15625,0.7378613531136553
102,3.1875,0.738341872055874
103,3.21875,0.7388033567310853
104,3.25,0.7392465620960204
105,3.28125,0.7396722130876787
106,3.3125,0.7400810058229409
107,3.34375,0.7404736087497799
108,3.375,0.7408506637520612
109,3.40625,0.741212787209836
110,3.4375,0.7415605710169505
111,3.46875,0.7418945835577195
112,3.5,0.7422153706443354
113,3.53125,0.7425234564166158
114,3.5625,0.742819344205626
115,3.59375,0.7431035173626455
116,3.625,0.743376440054889
117,3.65625,0.7436385580293329
118,3.6875,0.7438902993459398
119,3.71875,0.7441320750815247
120,3.75,0.7443642800054493
121,3.78125,0.7445872932282854
122,3.8125,0.7448014788245411
123,3.84375,0.7450071864304958
124,3.875,0.7452047518181507
125,3.90625,0.745394497446256
126,3.9375,0.7455767329893404
127,3.96875,0.7457517558456274
128,4.0,0.7459198516246893
