,t_n,y_n,name
0,0.0,1.0,approx 2^6 == 64
1,0.09523809523809523,1.5679906642574677,approx 2^6 == 64
2,0.19047619047619047,1.7757668305703007,approx 2^6 == 64
3,0.2857142857142857,1.5834363933343596,approx 2^6 == 64
4,0.38095238095238093,1.0555432196167274,approx 2^6 == 64
5,0.47619047619047616,0.3388194321240734,approx 2^6 == 64
6,0.5714285714285714,-0.38452208159084833,approx 2^6 == 64
7,0.6666666666666666,-0.9530425110824329,approx 2^6 == 64
8,0.7619047619047619,-1.2740638130726734,approx 2^6 == 64
9,0.8571428571428571,-1.3483272893298361,approx 2^6 == 64
10,0.9523809523809523,-1.2637925417277536,approx 2^6 == 64
11,1.0476190476190474,-1.1609452719996898,approx 2^6 == 64
12,1.1428571428571428,-1.1811006247710483,approx 2^6 == 64
13,1.2380952380952381,-1.4146226288995742,approx 2^6 == 64
14,1.3333333333333333,-1.8660005196483247,approx 2^6 == 64
15,1.4285714285714284,-2.4473231228925236,approx 2^6 == 64
16,1.5238095238095237,-3.002591869167527,approx 2^6 == 64
17,1.619047619047619,-3.3554088331821883,approx 2^6 == 64
18,1.7142857142857142,-3.3650234575666618,approx 2^6 == 64
19,1.8095238095238093,-2.9729297483816346,approx 2^6 == 64
20,1.9047619047619047,-2.225072255702527,approx 2^6 == 64
21,2.0,-1.262343699830822,approx 2^6 == 64
22,2.095238095238095,-0.2820266514032693,approx 2^6 == 64
23,2.1904761904761902,0.5180134865195349,approx 2^6 == 64
24,2.2857142857142856,0.9951398717255746,approx 2^6 == 64
25,2.380952380952381,1.1005207985358414,approx 2^6 == 64
26,2.4761904761904763,0.8886777328472072,approx 2^6 == 64
27,2.571428571428571,0.4953693269363474,approx 2^6 == 64
28,2.6666666666666665,0.0911423773319312,approx 2^6 == 64
29,2.761904761904762,-0.17450378551278717,approx 2^6 == 64
30,2.8571428571428568,-0.22053887415208845,approx 2^6 == 64
31,2.952380952380952,-0.05841259141273117,approx 2^6 == 64
32,3.0476190476190474,0.21478071398408713,approx 2^6 == 64
33,3.142857142857143,0.45151340303354026,approx 2^6 == 64
34,3.238095238095238,0.5058462127902961,approx 2^6 == 64
35,3.333333333333333,0.28530550109893843,approx 2^6 == 64
36,3.4285714285714284,-0.21430569809639272,approx 2^6 == 64
37,3.5238095238095237,-0.9026396311738847,approx 2^6 == 64
38,3.6190476190476186,-1.6194311613918908,approx 2^6 == 64
39,3.714285714285714,-2.1824731283450367,approx 2^6 == 64
40,3.8095238095238093,-2.443870153115104,approx 2^6 == 64
41,3.9047619047619047,-2.336755543775203,approx 2^6 == 64
42,4.0,-1.8975687787088837,approx 2^6 == 64
43,4.095238095238095,-1.2566467004072632,approx 2^6 == 64
44,4.19047619047619,-0.5998565577005708,approx 2^6 == 64
45,4.285714285714286,-0.11313148702529752,approx 2^6 == 64
46,4.3809523809523805,0.07283734673658179,approx 2^6 == 64
47,4.476190476190476,-0.07944626390197795,approx 2^6 == 64
48,4.571428571428571,-0.5053960320079676,approx 2^6 == 64
49,4.666666666666666,-1.061053491004199,approx 2^6 == 64
50,4.761904761904762,-1.569971048688847,approx 2^6 == 64
51,4.857142857142857,-1.879262518055285,approx 2^6 == 64
52,4.9523809523809526,-1.9070128901870025,approx 2^6 == 64
53,5.0476190476190474,-1.666094442212147,approx 2^6 == 64
54,5.142857142857142,-1.2570331559560914,approx 2^6 == 64
55,5.238095238095238,-0.8324853266023556,approx 2^6 == 64
56,5.333333333333333,-0.544961307180682,approx 2^6 == 64
57,5.428571428571428,-0.4947823641475016,approx 2^6 == 64
58,5.523809523809524,-0.6951755142453261,approx 2^6 == 64
59,5.619047619047619,-1.0659260209925936,approx 2^6 == 64
60,5.7142857142857135,-1.4578638552255545,approx 2^6 == 64
61,5.809523809523809,-1.7005696442975151,approx 2^6 == 64
62,5.904761904761904,-1.658197775275373,approx 2^6 == 64
63,6.0,-1.275617647294883,approx 2^6 == 64
