,Tempo ,Suscetiveis,Infectados
12678,24.76171875,51.38022722857468,1853.8085815650754
12679,24.763671875,51.3284402828201,1853.8281879867604
12680,24.765625,51.27670494422057,1853.8477383530214
12681,24.767578125,51.225021163633095,1853.8672327181473
12682,24.76953125,51.17338889195571,1853.886671136381
12683,24.771484375,51.121808080127465,1853.9060536619193
12684,24.7734375,51.0702786791284,1853.9253803489132
12685,24.775390625,51.018800639979524,1853.944651251468
12686,24.77734375,50.967373913742804,1853.963866423643
12687,24.779296875,50.91599845152112,1853.9830259194514
12688,24.78125,50.864674204458275,1854.002129792861
12689,24.783203125,50.81340112373895,1854.0211780977938
12690,24.78515625,50.762179160588694,1854.0401708881259
12691,24.787109375,50.71100826627391,1854.0591082176875
12692,24.7890625,50.6598883921018,1854.0779901402634
12693,24.791015625,50.60881948942039,1854.0968167095928
12694,24.79296875,50.55780150961848,1854.1155879793691
12695,24.794921875,50.50683440412563,1854.13430400324
12696,24.796875,50.45591812441212,1854.1529648348078
12697,24.798828125,50.405052621988986,1854.1715705276288
12698,24.80078125,50.35423784840793,1854.1901211352144
12699,24.802734375,50.30347375526132,1854.2086167110301
12700,24.8046875,50.25276029418221,1854.2270573084957
12701,24.806640625,50.20209741684426,1854.245442980986
12702,24.80859375,50.15148507496175,1854.26377378183
12703,24.810546875,50.10092322028954,1854.2820497643115
12704,24.8125,50.05041180462306,1854.300270981669
12705,24.814453125,49.9999507797983,1854.3184374870953
12706,24.81640625,49.94954009769175,1854.3365493337378
12707,24.818359375,49.89917971022043,1854.3546065746991
12708,24.8203125,49.848869569341815,1854.372609263036
12709,24.822265625,49.79860962705385,1854.3905574517605
12710,24.82421875,49.74839983539493,1854.4084511938388
12711,24.826171875,49.698240146443844,1854.4262905421924
12712,24.828125,49.648130512319796,1854.4440755496973
12713,24.830078125,49.598070885182345,1854.4618062691845
12714,24.83203125,49.54806121723142,1854.4794827534397
12715,24.833984375,49.498101460707275,1854.4971050552037
12716,24.8359375,49.44819156789046,1854.5146732271721
12717,24.837890625,49.39833149110183,1854.5321873219953
12718,24.83984375,49.348521182702484,1854.549647392279
12719,24.841796875,49.29876059509379,1854.5670534905835
12720,24.84375,49.24904968071732,1854.5844056694243
12721,24.845703125,49.19938839205485,1854.6017039812723
12722,24.84765625,49.14977668162833,1854.6189484785527
12723,24.849609375,49.10021450199987,1854.6361392136466
12724,24.8515625,49.05070180577172,1854.6532762388897
12725,24.853515625,49.00123854558624,1854.670359606573
12726,24.85546875,48.95182467412587,1854.6873893689424
12727,24.857421875,48.90246014411312,1854.7043655781995
12728,24.859375,48.853144908310576,1854.7212882865008
12729,24.861328125,48.80387891952081,1854.7381575459583
12730,24.86328125,48.754662130586425,1854.754973408639
12731,24.865234375,48.70549449438999,1854.7717359265653
12732,24.8671875,48.65637596385404,1854.788445151715
12733,24.869140625,48.607306491941046,1854.805101136021
12734,24.87109375,48.558286031653395,1854.821703931372
12735,24.873046875,48.50931453603337,1854.8382535896117
12736,24.875,48.46039195816312,1854.8547501625394
12737,24.876953125,48.41151825116465,1854.87119370191
12738,24.87890625,48.362693368199785,1854.8875842594339
12739,24.880859375,48.313917262470156,1854.9039218867765
12740,24.8828125,48.26518988721718,1854.9202066355592
12741,24.884765625,48.21651119572205,1854.936438557359
12742,24.88671875,48.167881141305664,1854.9526177037083
12743,24.888671875,48.11929967732867,1854.968744126095
12744,24.890625,48.07076675719139,1854.984817875963
12745,24.892578125,48.02228233433384,1855.0008390047115
12746,24.89453125,47.973846362235655,1855.0168075636955
12747,24.896484375,47.92545879441612,1855.032723604226
12748,24.8984375,47.87711958443413,1855.0485871775695
12749,24.900390625,47.828828685888155,1855.064398334948
12750,24.90234375,47.780586052416226,1855.08015712754
12751,24.904296875,47.73239163769591,1855.095863606479
12752,24.90625,47.68424539544431,1855.1115178228551
12753,24.908203125,47.63614727941799,1855.1271198277138
12754,24.91015625,47.588097243413024,1855.1426696720566
12755,24.912109375,47.540095241264915,1855.158167406841
12756,24.9140625,47.4921412268486,1855.1736130829802
12757,24.916015625,47.44423515407842,1855.1890067513439
12758,24.91796875,47.3963769769081,1855.2043484627573
12759,24.919921875,47.34856664933073,1855.219638268002
12760,24.921875,47.300804125378725,1855.2348762178156
12761,24.923828125,47.253089359123834,1855.2500623628914
12762,24.92578125,47.205422304677086,1855.2651967538793
12763,24.927734375,47.157802916188786,1855.280279441385
12764,24.9296875,47.11023114784849,1855.2953104759704
12765,24.931640625,47.06270695388498,1855.310289908154
12766,24.93359375,47.01523028856624,1855.3252177884099
12767,24.935546875,46.96780110619944,1855.3400941671691
12768,24.9375,46.920419361130904,1855.3549190948183
12769,24.939453125,46.87308500774609,1855.3696926217008
12770,24.94140625,46.82579800046958,1855.384414798116
12771,24.943359375,46.778558293765045,1855.39908567432
12772,24.9453125,46.73136584213522,1855.4137053005252
12773,24.947265625,46.68422060012188,1855.4282737268998
12774,24.94921875,46.637122522305845,1855.4427910035693
12775,24.951171875,46.59007156330692,1855.457257180615
12776,24.953125,46.54306767778389,1855.471672308075
12777,24.955078125,46.496110820434495,1855.486036435944
12778,24.95703125,46.44920094599542,1855.500349614173
12779,24.958984375,46.40233800924225,1855.5146118926696
12780,24.9609375,46.35552196498946,1855.528823321298
12781,24.962890625,46.308752768090386,1855.5429839498793
12782,24.96484375,46.26203037343722,1855.5570938281908
12783,24.966796875,46.215354735960965,1855.5711530059666
12784,24.96875,46.168725810631415,1855.5851615328977
12785,24.970703125,46.12214355245715,1855.5991194586315
12786,24.97265625,46.07560791648551,1855.6130268327727
12787,24.974609375,46.02911885780254,1855.626883704882
12788,24.9765625,45.98267633153301,1855.6406901244775
12789,24.978515625,45.936280292840365,1855.6544461410338
12790,24.98046875,45.88993069692672,1855.6681518039825
12791,24.982421875,45.84362749903281,1855.6818071627122
12792,24.984375,45.79737065443801,1855.6954122665682
12793,24.986328125,45.75116011846027,1855.7089671648528
12794,24.98828125,45.704995846456114,1855.7224719068251
12795,24.990234375,45.65887779382062,1855.7359265417017
12796,24.9921875,45.61280591598738,1855.7493311186556
12797,24.994140625,45.566780168428494,1855.7626856868173
12798,24.99609375,45.52080050665454,1855.7759902952741
12799,24.998046875,45.47486688621454,1855.7892449930705
12800,25.0,45.42897926269597,1855.802449829208
12801,25.001953125,45.38313759172469,1855.8156048526453
12802,25.00390625,45.33734182896497,1855.8287101122985
12803,25.005859375,45.29159193011944,1855.8417656570407
12804,25.0078125,45.24588785092905,1855.8547715357022
12805,25.009765625,45.2002295471731,1855.8677277970705
12806,25.01171875,45.15461697466916,1855.8806344898908
12807,25.013671875,45.10905008927308,1855.893491662865
12808,25.015625,45.063528846878974,1855.9062993646526
12809,25.017578125,45.01805320341915,1855.9190576438707
12810,25.01953125,44.97262311486415,1855.9317665490935
12811,25.021484375,44.92723853722267,1855.9444261288527
12812,25.0234375,44.881899426541594,1855.9570364316373
12813,25.025390625,44.83660573890591,1855.9695975058942
12814,25.02734375,44.79135743043874,1855.9821094000272
12815,25.029296875,44.746154457301266,1855.994572162398
12816,25.03125,44.70099677569277,1856.006985841326
12817,25.033203125,44.65588434185056,1856.0193504850877
12818,25.03515625,44.61081711204995,1856.0316661419176
12819,25.037109375,44.56579504260427,1856.0439328600078
12820,25.0390625,44.52081808986481,1856.0561506875076
12821,25.041015625,44.47588621022082,1856.0683196725247
12822,25.04296875,44.43099936009946,1856.080439863124
12823,25.044921875,44.38615749596582,1856.0925113073283
12824,25.046875,44.341360574322835,1856.1045340531182
12825,25.048828125,44.29660855171133,1856.1165081484319
